Timestamp,Platform,Product Name,Price
2025-07-31 13:35:15.387667,Amazon,Apple iPhone 15 (128 GB) - Blue,59999.00
2025-07-31 13:35:15.388130,Flipkart,"Apple iPhone 15 (Blue, 128 GB)",64900
